,SKU,0
378,J0023-TP-L,374.35000000000036
1215,J0279-SET-S,373.89999999999964
2620,JNE3672-TU-L,371.60000000000036
406,J0035-KR-XL,371.0
2002,JNE3479-KR-M,370.2000000000007
2004,JNE3479-KR-XL,370.2000000000007
2001,JNE3479-KR-L,369.9500000000007
2311,JNE3605-KR-M,369.25
1520,JNE2100-KR-144-L,369.0
786,J0152-DR-M,365.0
1138,J0241-SKD-L,364.75
1141,J0241-SKD-XL,364.75
1139,J0241-SKD-M,364.64999999999964
3902,SET227-KR-PP-M,363.75
2627,JNE3673-TU-L,363.60000000000036
2686,JNE3686-TU-M,360.85000000000036
4104,SET268-KR-NP-M,359.84999999999854
2195,JNE3560-KR-L,359.5
1002,J0202-TP-XL,353.75
2148,JNE3548-KR-XL,351.0
2145,JNE3548-KR-L,350.0
630,J0119-TP-L,349.85000000000036
2630,JNE3673-TU-XL,349.3000000000002
185,BTM039-PP-XXL,349.25
3564,SET038-KR-PP-XXL,348.35000000000036
4508,SET378-KR-NP-XXXL,348.0
95,BTM002-XL,346.0599999999995
2196,JNE3560-KR-M,342.5
226,BTM046-PP-XXL,342.0
227,BTM046-PP-XXXL,342.0
179,BTM038-PP-XXXL,341.0
379,J0023-TP-M,340.5
98,BTM002-XXXL,339.0599999999995
92,BTM002-L,339.0599999999995
1728,JNE3366-KR-1053-M,338.0
1523,JNE2100-KR-144-XL,334.0
2628,JNE3673-TU-M,333.10000000000036
2635,JNE3674-TU-M,332.10000000000036
2146,JNE3548-KR-M,331.0
922,J0185-DR-XL,331.0
1130,J0239-SKD-XXL,327.0
1127,J0239-SKD-S,327.0
2316,JNE3605-KR-XXXL,322.25
1024,J0207-DR-XL,322.0
521,J0094-KR-L,321.5
2685,JNE3686-TU-L,320.60000000000036
1122,J0237-SKD-XXXL,317.35000000000036
841,J0166-DR-XL,316.0
840,J0166-DR-S,316.0
231,BTM047-PP-XL,314.1900000000005
108,BTM005-XL,313.0599999999995
105,BTM005-L,313.0599999999995
125,BTM021-XXXL,313.0599999999995
110,BTM005-XXL,313.0599999999995
111,BTM005-XXXL,313.0599999999995
